SNR,BAK,PESQ,SIG,OVRL,environment
17.5,3.942785259004397,4.643888473510742,3.4627139947165033,3.134091034699326,bus
12.5,3.99701355267722,4.643888473510742,3.4840696205767387,3.177090747831101,bus
7.5,4.039167881521123,4.643888473510742,3.523499216991579,3.23310196113554,bus
2.5,3.9886961328163135,4.643888473510742,3.4598467826729444,3.1539692623811586,bus
17.5,4.014132645734967,4.643888473510742,3.5330353460208173,3.2293986115827216,cafe
12.5,4.025402290014605,4.643888473510742,3.517033273661128,3.2198357350107507,cafe
7.5,4.0196058413252205,4.643888473510742,3.5223896675734623,3.2257266105991946,cafe
2.5,3.98084279317841,4.643888473510742,3.4754653054132256,3.1661048817157718,cafe
17.5,3.909876057264948,4.643888473510742,3.431610037569766,3.0887897685697707,living
12.5,4.013706745160815,4.643888473510742,3.5100524357178364,3.20917303259722,living
7.5,4.018326217253285,4.643888473510742,3.5035317323991713,3.2053488977046776,living
2.5,3.9950201112922366,4.643888473510742,3.46172365878748,3.159980291796444,living
17.5,3.9944194778376874,4.643888473510742,3.4860875188575475,3.1748003399846745,office
12.5,4.045344500754949,4.643888473510742,3.52235234648737,3.2343027713510883,office
7.5,4.013196096835318,4.643888473510742,3.486788419971071,3.182618632412819,office
2.5,4.008118049044667,4.643888473510742,3.513167788553725,3.2059186528763965,office
17.5,3.9630182190375813,4.643888473510742,3.465925804779377,3.1448075170233407,psquare
12.5,4.034537573420568,4.643888473510742,3.5246290269969016,3.230028586351368,psquare
7.5,3.9956335041693336,4.643888473510742,3.505856594357244,3.1988162528142254,psquare
2.5,4.000494939061584,4.643888473510742,3.4787902230902836,3.1733090301231144,psquare
